Token,Item Name,Variation Name,Reporting Category,Description,SKU,Price
,Peach Cobbler Gourmet,Regular,Shakes & Smoothies,24g protein,,9.68
,Orange Blast Gourmet,Regular,Shakes & Smoothies,24g protein,,9.68
,Wild Berry Lemonade,Regular,Shakes & Smoothies,24g protein,,9.68
,Banana Pudding,Regular,★ Most Popular,24g protein,,9.68
,Butter Pecan Gourmet,Regular,Shakes & Smoothies,24g protein,,9.68
,Maple Pecan Gourmet,Regular,Shakes & Smoothies,24g protein,,9.68
,Mr.Kerry with creatine bottle,Regular,Shakes & Smoothies,"33g protein, 5g fiber, 21 vitamins & minerals, L-glutamin",,12.40
,The Hulk,Regular,Shakes & Smoothies,30g protein,,9.68
,Tropical Twist,Regular,Shakes & Smoothies,24g protein,,9.68
,Whatchamacallit,Regular,Shakes & Smoothies,24g protein,,9.68
,Strawberry Cheesecake Gourmet,Regular,★ Most Popular,"24g protein, strawberries, whipped cream, and granola",,9.68
,Blueberry Cheesecake,Regular,Shakes & Smoothies,"24g protein, blueberries, whipped cream, and granola",,9.68
,Red Velvet Gourmet,Regular,Shakes & Smoothies,24g protein,,9.68
,Pumpkin Pie Gourmet,Regular,Shakes & Smoothies,"24g protein, sugar free caramel around the sides, topped with whipped cream, caramel, a dash of cinnamon, and pecans if wanted",,9.68
,Wild Berry,Regular,Shakes & Smoothies,24g protein,,7.50
,Strawberry Shortcake,Regular,Shakes & Smoothies,24g protein,,7.50
,Strawberry Banana Shake,Regular,Shakes & Smoothies,24g protein,,7.21
,Snickerdoodle,Regular,Shakes & Smoothies,24g protein,,7.21
,Reeces Cup,Regular,Shakes & Smoothies,24g protein,,7.50
,Cherry Almond Chocolate,Regular,Shakes & Smoothies,24g protein 32 oz cup,,9.68
,Pina Colada,Regular,Shakes & Smoothies,"16g protein, 190 calories 20 oz cup",,7.50
,Peanut Butter Jelly,Regular,Shakes & Smoothies,24g protein,,7.50
,Peanut Butter Cookie,Regular,Shakes & Smoothies,"16g protein, 20oz cup",,7.50
,Orange Creamsicle,Regular,Shakes & Smoothies,24g protein,,7.50
,Lemon Cookie,Regular,Shakes & Smoothies,"16g protein, 190 calories 20 oz cup",,7.50
,French Vanilla,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Dutch Chocolate,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
